ABC,6
AFP,2
ASEAN,2
Academi Corporation,2
Aeroflot,5
Agency for International Development,2
Air Force,4
Alcoa Inc,2
Allegheny Technologies,2
American Foreign Service,2
American University,2
Amnesty International,5
Apple,2
Armed Forces,4
Associated Press,5
Atlantic Council,8
British Airways,3
BBC,7
BLM,2
Bank Rossiya,2
Bharatiya Janata Party,3
Black Sea Fleet,4
Bloomberg,24
CBC,2
CBS,6
CDC,4
CIA,27
CNN,40
CNPC,5
Carnegie Endowment for International Peace,2
Center for National Policy,2
Central Election Commission,7
Central Intelligence Agency,3
Chevron,2
China National Petroleum Corporation,3
China News Service,2
Chinese Foreign Ministry,4
Collective Security Treaty Organization,3
Committee of Ministers,5
Commonwealth of Independent States,8
Communist Party,11
Community Hospital,2
Congress,31
Council of Lawmakers,2
Council on Foreign Relations,2
Customs Union,10
DPR,2
Defence Ministry,87
Defense Department,9
Delta,2
Democratic Front,2
Democratic Party,3
Department of Commerce,3
Department of Homeland Security,2
Department of State,2
Dnipro Hotel,21
EDCA,2
EU Council,32
Emergencies Ministry,3
Energy Ministry,2
Eurasian Economic Union,3
EU Central Bank,2
EU Commission,36
EU Commission’s Committee of Ministers,2
EU Parliament,14
Executive Intelligence Review Magazine,2
Exxon,5
FBI,8
FSB,8
Fars News Agency,2
Federal Air Transport Agency,3
Federal Assembly,2
Federal Passenger Company,2
Federal Reserve,2
Federation Council,10
Finance Ministry,3
Financial Times,3
Forbes,3
Foreign Intelligence Surveillance Court,2
Foreign Ministry,49
GCHQ,2
German Intelligence Service,2
Green Party,2
Harvard University,2
Higher Naval School,21
House Foreign Affairs Committee,5
House of Trade Unions,4
House of Representatives,38
Human Rights Council,3
Human Rights Watch,15
IMF,34
Interior Ministry,102
Judicial Watch,2
Justice Department,5
KGB,2
Komsomolskaya Pravda,2
Kyodo News,2
Levada Center,2
Liberation Army,4
Library of Congress,2
Lockheed Martin,4
Los Alamos National Laboratory,2
Los Angeles Clippers,2
Main Intelligence Directorate,2
Malaysia Airlines,2
MasterCard,6
Microsoft,4
Mobil,2
Morgan Stanley,3
NASA,5
NATO,129
NGO,3
NSA,31
NYT,15
National Basketball Association,2
National Democratic Institute,2
National Front,3
National Guard,36
National Petroleum Corporation,2
National Security Council,2
National Security Forces,2
National Security and Defense Committee,2
Navy,42
Northrop Grumman,2
OSCE,168
Obama-Biden Inaugural Committee,2
PACE,5
Pacific Fleet,3
Peace Research Institute,2
Pentagon,39
Pepsi Cola,2
Pew Research Center,2
Presidential Human Rights Council,2
Princeton University,2
Red Army,3
Red Cross,2
Reuters,147
Royal United Services Institute,3
Russian Agriculture Ministry,2
Russian Defense Ministry,11
Russian Embassy,3
Russian Energy Ministry,3
Russian Federation,38
Russian Foreign Ministry,60
Russian Ministry of Economic Development,2
Russian National Defense Command Center,2
Russian Presidential Human Rights Council,2
Russian Security Council,5
Russian Economic Development Ministry,2
Russian State Duma Committee,2
Vedomosti,2
SBU,7
SMP Bank,4
Secret Service,2
Security Council,13
Senate,10
Siemens,2
SolarWorld,2
Solidarity,2
Standard & Poor,5
State Border Guard Service,4
State Department,34
State Duma Committee on International Affairs,4
State Duma,7
Supreme Court,3
Syrian National Coalition,2
Washington Post,20
Time Magazine,2
Trade Unions House,3
Treasury Department,6
Treasury,14
US Chamber of Commerce,2
US Embassy,5
UKIP,3
UN Security Council,10
US Air Force,5
US Army,3
US Centers for Disease Control and Prevention,3
US Congress,7
US Defense Department,5
US Department of Justice,2
US Department of State,5
US Federal Register,2
US National Geospatial-Intelligence Agency,2
US Senate,2
US State Department,30
US Trade Representative,2
US Treasury Department,4
Ukrainian Army,18
Ukrainian Defense Ministry,33
Ukrainian Foreign Ministry,9
Ukrainian Interior Ministry,2
Ukrainian National Guard,25
Ukrainian Parliament,22
Ukrainian Security Service,33
Ukrainian State Border Guard Service,2
United Launch Alliance,3
University of Missouri,2
Volga Group,3
Washington Institute for Near East Policy,2
Westinghouse,6
White House Press,4
White House,78
Woodrow Wilson International Center,2
World Bank,8
World Health Organization,5
World Trade Organization,5
Xinhua,44
Yale Law School,2
