many_armed_people;donetsk_donetsk
life;danger
this;late_march
army;afghanistan_afghanistan_?
belarus;the_fifth_place_of_russia_russia
ukraine;need_of_money
crew;vain
no_secret_russia_relations;a_bad_place
mariupol_mariupol_which_has_resulted_in_multiple_deaths;hospital
the_ukrainian_economy;a_difficult_position
those;the_first_instance_belarus_and_the_first_instance_belarus
his_-lsb-_kharkiv_mayor_-rsb-_gennady_kernes;the_hospital
surveillance_technology;its_infancy_surveillance_technology
he_ahmed_jari;sabratha_sabratha
crisis;the_hands_of_ukrainians
other;the_us_the_us_directly
russia_russia;search_of_a_new_mission
vessel;the_area
the_the_contract_for_the_supply_of_gas_made_by_and_between_gazprom_and_naftogaz_of_ukraine_in_2009_failure_to_perform_the_obligations_entails_an_automatic_transition_to_gas_supplies_on_a_prepaid_basis_from_june_1_#_contract;effect
search;niger
i;moscow_moscow_
kerry;london
our_male_colleagues;a_different_area
miller;custody_awaiting_trial
militants;chibok_chibok
the_search;niger
girls;nigeria
embassy_officers;yemen
#;force
contract;effect
those;the_first_instance_belarus_and_the_first_instance_belarus
sailors;intensive_care_department
_donetsk;control_of_the_horlivka_horlivka
#;charge_of_steaua_bucharest
eastern_ukraine;the_grip_of_the_the_separatists_who_have_vowed_to_hold_a_referendum_on_may_11_on_independence_from_kiev_and_closer_ties_with_russia
journalists_of_lifenews_tv_channel;ukraine_kramatorsk_southeastern_ukraine
the_whistleblower;russia
youth;the_focus_of_our_each_other_and_efficient_work_for_the_benefit_of_the_peoples_of_our_two_countries
main_effort;afghanistan
premise;doubt
the_ball;the_court_of_the_us_the_us_the_us_and_the_eu
rompuy;kiev
_donetsk;control_of_the_horlivka_horlivka
crew;vain
ukraine;political_turmoil
the_#_observers;ukraine_ukraine_'s
the_results;his_gennady_kernes
the_negotiating_process;competence_of_experts
the_#_new_members;the_eastern_europe
chancellor_angela_merkel;washington
#;force
contract;effect
people;putin_'s_mr._putin_when_he_sees_that_the_world_is_unified_and_the_united_states_and_europe_is_unified_rather_than_this_is_just_a_u.s.-russian_conflict
a_member;contact
the_popular_eurovision_the_eurovision;denmark
many_protesters;detention
commitment;doubt
camouflage_fatigues_and_balaclavas;the_a_room_of_waiting_journalists_in_the_separatist-held_administration_building_in_the_city_of_slovyansk_on_sunday
